ProductKey,ProductName,Total,Custo
13,Contoso 4GB Flash MP3 Player E401 Black,1334952.5504,620599.28
15,Contoso 4GB Flash MP3 Player E401 White,1367241.0192,635423.08
30,Contoso 32GB Video MP3 Player M3200 Red,1961753.25,653192.19
32,Contoso 32GB Video MP3 Player M3200 Pink,1823270.4,606807.18
47,WWI 1GBPulse Smart pen E50 Black,2945361.3855,1522119.5
49,WWI 2GB Pulse Smart pen M100 White,3845296.4355,1775002.8
64,WWI 2GB Spy Video Recorder Pen M300 Silver,693649.92,320640.48
66,NT Bluetooth Stereo Headphones E52 Blue,488748.9103,252568.0
81,NT Wireless Bluetooth Stereo Headphones E302 Black,710129.8475,329881.2
83,NT Wireless Bluetooth Stereo Headphones M402 Silver,725840.4087,335424.1
98,WWI Wireless Bluetooth Stereo Headphones M170 Silver,470710.8,216857.4
100,WWI Wireless Bluetooth Stereo Headphones M170 White,488252.4,225686.2
113,WWI Wireless Transmitter and Bluetooth Headphones X250 White,1629632.3121,544110.27
115,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,1661571.0345,555623.64
130,"Adventure Works 20"" Analog CRT TV E45 Black",3489190.0,1800688.23
132,"Adventure Works 20"" Analog CRT TV E45 Brown",3790910.0,1955172.78
147,"Adventure Works 52"" LCD HDTV X590 White",5555800.842,1869755.72
149,"Adventure Works 40"" LCD HDTV M690 Silver",11811437.3187,3933066.8
164,"Adventure Works 52"" LCD HDTV X790W Brown",10997086.57,3675301.51
166,SV 16xDVD M300 Black,259473.55,120000.96
181,SV 16xDVD M310 Silver,1796274.69,829886.8
183,SV 16xDVD M330 Silver,2429698.29,1120606.02
198,Litware Home Theater System 4.1 Channel M411 Black,2002235.37,926096.52
200,Litware Home Theater System 4.1 Channel M413 Black,4131768.51,1914227.54
215,Litware Home Theater System 4.1 Channel M412 Silver,4334812.7,2007978.84
217,Litware Home Theater System 5.1 Channel M512 Silver,7587651.99,3504981.76
230,Litware Home Theater System 4.1 Channel M411 Brown,2098626.45,965487.3
232,Litware Home Theater System 4.1 Channel M413 Brown,3833903.07,1773601.75
